Rating,Date,Title,Content,Reviewer,Verified,Brand Response,YearMonth,Country
5,2025-04-28,No Title,Ras,"laurence, France",Yes,No response,2025-04,France
5,2025-04-26,No Title,Parfait pour le camping,"Cyril, France",Yes,No response,2025-04,France
5,2025-04-25,No Title,Bien,"ANNABELLE, France",Yes,No response,2025-04,France
5,2025-04-24,Comfortable and warm,"It's perfect for camping in summers in Ireland, great material, provides comfortable sleep and warm enough.","Anju, Ireland",Yes,No response,2025-04,Ireland
5,2025-04-22,Pratique,Duvet chaud et agréable avec possibilité d’assembler deux duvets identiques . Bon rapport qualité prix. Le duvet mériterait cependant d’être un peu plus compacte,"Frédéric, France",Yes,No response,2025-04,France
5,2025-04-22,No Title,tutto ok,"Irene, Italy",Yes,No response,2025-04,Italy
5,2025-04-21,ottimo,ottimi,"Gianluca, Italy",Yes,No response,2025-04,Italy
5,2025-04-20,Bien,Bon produit pour le camping,"Camille, France",Yes,No response,2025-04,France
5,2025-04-18,good,"Uso esse saco de dormir há um ano. Fiquei muito satisfeito, então comprei mais dois para meus filhos.","Oleksandra, Portugal",Yes,No response,2025-04,Portugal
5,2025-04-18,No Title,"Hài lòng về chất lượng sản phẩm, cách bán hàng, thái độ nhân viên.","Anonymous Author, Vietnam",Yes,No response,2025-04,Vietnam
5,2025-04-18,No Title,W większości śpiworów suwak nie wytrzymywał. ten jest super.,"Beata, Poland",Yes,No response,2025-04,Poland
5,2025-04-15,Super jakość duży ciepły i można łączyć,Genialny śpiwór mega ciepły duży i można go łączyć z z drugim i mamy wielką kołdrę !,"Sebastian, Poland",Yes,No response,2025-04,Poland
3,2025-04-15,No Title,"Abbastanza caldo, ma molto ingombrante","Gabriele, Italy",Yes,No response,2025-04,Italy
3,2025-04-14,No Title,Un po piccolo,"ROSANNA, Italy",Yes,No response,2025-04,Italy
3,2025-04-14,produit de qualité très moyenne,Produit chère par rapport à sa qualité,"Kamal, Morocco",Yes,"Bonjour, Merci pour votre retour. Nous sommes désolés d'apprendre que la qualité du produit n’a pas répondu à vos attentes. Votre avis est important pour nous et nous allons le transmettre à nos équipes afin d’améliorer nos produits à l'avenir. Si vous souhaitez discuter de cette expérience, n’hésitez pas à contacter notre service client. Sportivement, Douaa – Équipe Decathlon",2025-04,Morocco
5,2025-04-14,No Title,轻便型睡袋,"中国客户, China",Yes,No response,2025-04,China
3,2025-04-12,Trop petit,"Je suis un peu large d'épaule et il m' a été impossible d'y rentrer complètement et de fermer le sac. J'ai du dormir avec un bras à l'extérieur, du coup je me suis un peu gelé toute la nuit et impossible de dormir convenablement.","marc, Belgium",Yes,"Bonjour, Merci de nous avoir donné votre avis sur notre sac de couchage. Avant tout, je suis désolé d’apprendre que ce produit n’a pas pu répondre à votre besoin. Je vous invite à revenir en magasin afin que nous puissions vous proposer un échange ou un remboursement.",2025-04,Belgium
5,2025-04-12,sacco a pelo,molto utile,"Veronica, Italy",Yes,No response,2025-04,Italy
4,2025-04-11,No Title,Comfortable,"Vinay, India",Yes,No response,2025-04,India
5,2025-04-10,ottimo acquisto,"ottimo rapporto qualità prezzo, un po' ingombrante ma molto comodo","Federica, Italy",Yes,No response,2025-04,Italy
5,2025-04-10,"Dobry, podstawowy śpiwór","Używam tego śpiwora od kilku lat i nigdy nie zawiódł. oczywiście głównie przydaje się w miarę stabilnych warunkach, natomiast letnie i wiosenne chłody nie są mu straszne. Dobrze się śpi, mimo sztucznych materiałów nie pocę sie w nim, jest komfortowo. Obecnie dokupiłem drugi i można je połączyć tworząc duży dwuosobowy co uważam za ekstra funkcję.","Bartosz, Poland",Yes,No response,2025-04,Poland
5,2025-04-10,Great product,Good sleeping comfort and holds warm,"Philipp, Portugal",Yes,No response,2025-04,Portugal
